sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,timestamp_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,timestamp_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,timestamp_P2,value_type_P2,value_P2
145,DHT22,3528,-0.286,36.067,2023-02-04 06:25:38.931872+00:00,temperature,20,2023-02-04 06:25:38+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:25:38.931872+00:00,humidity,83,144,SDS011,3528,-0.286,36.067,2023-02-04 06:25:38.929822+00:00,P1,27.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:25:38.929822+00:00,P2,11.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:28:18.937462+00:00,temperature,20,2023-02-04 06:28:18+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:28:18.937462+00:00,humidity,83,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 06:30:59.525798+00:00,temperature,20,2023-02-04 06:30:59+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:30:59.525798+00:00,humidity,81,144,SDS011,3528,-0.286,36.067,2023-02-04 06:30:59.526649+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:30:59.526649+00:00,P2,9.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:33:39.149496+00:00,temperature,21,2023-02-04 06:33:39+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:33:39.149496+00:00,humidity,81,,,,,,,,,,,,,,,,
145,DHT22,3528,-0.286,36.067,2023-02-04 06:36:19.347603+00:00,temperature,21,2023-02-04 06:36:19+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:36:19.347603+00:00,humidity,76,144,SDS011,3528,-0.286,36.067,2023-02-04 06:36:19.347586+00:00,P1,18.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:36:19.347586+00:00,P2,8.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:38:59.716498+00:00,temperature,21,2023-02-04 06:38:59+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:38:59.716498+00:00,humidity,74,144,SDS011,3528,-0.286,36.067,2023-02-04 06:38:59.716146+00:00,P1,104.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:38:59.716146+00:00,P2,8.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:41:39.562097+00:00,temperature,21,2023-02-04 06:41:39+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:41:39.562097+00:00,humidity,71,144,SDS011,3528,-0.286,36.067,2023-02-04 06:41:39.560030+00:00,P1,17.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:41:39.560030+00:00,P2,5.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:44:19.326453+00:00,temperature,21,2023-02-04 06:44:19+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:44:19.326453+00:00,humidity,70,144,SDS011,3528,-0.286,36.067,2023-02-04 06:44:19.323360+00:00,P1,18.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:44:19.323360+00:00,P2,6.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:46:59.286986+00:00,temperature,22,2023-02-04 06:46:59+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:46:59.286986+00:00,humidity,70,144,SDS011,3528,-0.286,36.067,2023-02-04 06:46:59.287009+00:00,P1,21.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:46:59.287009+00:00,P2,7.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:49:40.156964+00:00,temperature,22,2023-02-04 06:49:40+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:49:40.156964+00:00,humidity,66,144,SDS011,3528,-0.286,36.067,2023-02-04 06:49:40.156928+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:49:40.156928+00:00,P2,7.0
